Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
Red Notice,Action,117,English,453990000,232800000,12/11/2021,2021,6.3,37,Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Ritu Arya,PG-13,296903,200000000
The Princess Switch 3: Romancing the Star,Romantic Comedy,106,English,41020000,23200000,18/11/2021,2021,5.5,,Mike Rohl,Vanessa Hudgens,Remy Hii,Nick Sagar,PG,6892,10000000
A Boy Called Christmas,Holiday,106,,73320000,41500000,18/11/2021,2021,6.7,61,Gil Kenan,Maggie Smith,Isabella O'Sullivan,Eden Lawrence,PG,24597,4000000
Dhamaka,Action,104,Hindi,13920000,8000000,19/11/2021,2021,7,,Ram Madhvani,Kartik Aaryan,Mrunal Thakur,Amruta Subhash,PG-13,42005,5000000
Bruised,Drama,132,English,80040000,36400000,24/11/2021,2021,6.2,52,Halle Berry,Halle Berry,Adan Canto,Adriane Lenox,R,15559,11000000
The Power of the Dog,Drama,128,English,45940000,21500000,01/12/2021,2021,6.8,89,Jane Campion,Benedict Cumberbatch,Kirsten Dunst,Kodi Smit-McPhee,PG-13,185264,39000000
The Claus Family 2,Holiday,97,Dutch,9510000,5900000,07/12/2021,2021,5.5,,Ruben Vandenborre,Jan Decleir,Mo Bakker,Bracha van Doesburgh,PG,697,4000000
Back to the Outback,Animation,95,English,125090000,79000000,10/12/2021,2021,6.5,58,Harry Cripps,Eric Bana,Tim Minchin,Miranda Tapsell,PG,9671,15000000
The Unforgivable,Drama,114,English,219550000,115600000,10/12/2021,2021,7.1,41,Nora Fingscheidt,Sandra Bullock,Viola Davis,Jon Bernthal,R,114896,30000000
A California Christmas: City Lights,Romantic Comedy,90,English,34490000,23000000,16/12/2021,2021,5.5,,Shaun Paul Piccinino,Lauren Swickard,Josh Swickard,David Del Rio,PG-13,3030,2000000
1000 Miles from Christmas,Holiday,102,Spanish,13590000,8000000,24/12/2021,2021,5.8,,Alvaro Fernandez Armero,Tamar Novas,Andrea Ros,Mar del Hoyo,PG,1800,3000000
Don't Look Up,Comedy,138,English,389580000,169400000,24/12/2021,2021,7.2,49,Adam McKay,Leonardo DiCaprio,Jennifer Lawrence,Cate Blanchett,R,566559,75000000
Brazen,Thriller,96,English,79750000,49800000,13/01/2022,2022,4.1,,Monika Mitchell,Alyssa Milano,Sam Page,Emilie Ullerup,PG-13,13244,8000000
The Royal Treatment,Romance,97,English,77580000,48000000,20/01/2022,2022,5.2,36,Rick Jacobson,Laura Marano,Mena Massoud,Talia Lesser,PG,10691,12000000
Amandla,Drama,106,English,11740000,6600000,21/01/2022,2022,5.6,,Nerina De Jager,Lemogang Tsipa,Thabo Rametsi,Bahle Mashinini,15,445,2000000
Munich – The Edge of War,Spy Thriller,131,English,28430000,13000000,21/01/2022,2022,6.8,53,Christian Schwochow,George MacKay,Jannis Niewohner,Liv Lisa Fries,PG-13,33959,15000000
Home Team,Sports Comedy,97,English,65230000,40300000,28/01/2022,2022,6,23,Charles Kinnane,Kevin James,Taylor Lautner,Rob Schneider,PG,20897,44600000
